"var_name","H","M_spec","estimador","est_label","spec_label","DM_stat","p_value","DM_pval_onesided","sig_2s","sig_1s"
"CAMBIO",12,3,3,"MSRRs","AR+Tgt",2.01307721494313,0.0462896884357741,0.976855155782113,"**",""
"CAMBIO",12,3,4,"MSRRd","AR+Tgt",0.803557056562798,0.423228590357151,0.788385704821425,"",""
"CAMBIO",12,4,1,"Ridge","AR+Pan",1.06190124561862,0.290361060013367,0.854819469993316,"",""
"CAMBIO",12,4,3,"MSRRs","AR+Pan",2.71677588093991,0.00754268596435925,0.99622865701782,"***",""
"CAMBIO",12,4,4,"MSRRd","AR+Pan",0.471760189054475,0.637933767613725,0.681033116193138,"",""
"CAMBIO",3,1,2,"2SRR","AR",1.5984577197573,0.1125069054786,0.9437465472607,"",""
"CAMBIO",3,1,3,"MSRRs","AR",1.9363267709125,0.0551215187047131,0.972439240647643,"*",""
"CAMBIO",3,1,4,"MSRRd","AR",-0.812712479410258,0.417953178352613,0.208976589176307,"",""
"CAMBIO",3,2,1,"Ridge","AR+F",-0.93132295266935,0.353510921577117,0.176755460788558,"",""
"CAMBIO",3,2,2,"2SRR","AR+F",3.32154239785474,0.00117896293618436,0.999410518531908,"***",""
"CAMBIO",3,2,3,"MSRRs","AR+F",1.67046742765052,0.097369689586688,0.951315155206656,"*",""
"CAMBIO",3,2,4,"MSRRd","AR+F",1.72204881979996,0.0875743771170847,0.956212811441458,"*",""
"CAMBIO",3,3,1,"Ridge","AR+Tgt",1.41346579625671,0.160044627672055,0.919977686163973,"",""
"CAMBIO",3,3,2,"2SRR","AR+Tgt",4.15202014980478,6.1087079964013e-05,0.999969456460018,"***",""
"CAMBIO",3,3,3,"MSRRs","AR+Tgt",3.493553764282,0.000663127862431,0.999668436068785,"***",""
"CAMBIO",3,3,4,"MSRRd","AR+Tgt",0.519570284668015,0.604296856611911,0.697851571694045,"",""
"CAMBIO",3,4,1,"Ridge","AR+Pan",0.0149428319049279,0.988101999671787,0.505949000164106,"",""
"CAMBIO",3,4,3,"MSRRs","AR+Pan",1.84146129957813,0.0679632413730201,0.96601837931349,"*",""
"CAMBIO",3,4,4,"MSRRd","AR+Pan",0.887789870446737,0.3763865371936,0.8118067314032,"",""
"CAMBIO",6,1,3,"MSRRs","AR",1.19734341421534,0.233475165269928,0.883262417365036,"",""
"CAMBIO",6,1,4,"MSRRd","AR",1.02595757570889,0.306925028652627,0.846537485673686,"",""
"CAMBIO",6,2,1,"Ridge","AR+F",-0.667656261140849,0.50560380997702,0.25280190498851,"",""
"CAMBIO",6,2,3,"MSRRs","AR+F",0.367569171826522,0.713826213396981,0.64308689330151,"",""
"CAMBIO",6,2,4,"MSRRd","AR+F",1.39884820116071,0.164375030519122,0.917812484740439,"",""
"CAMBIO",6,3,1,"Ridge","AR+Tgt",-0.376001644351042,0.70756340534795,0.353781702673975,"",""
"CAMBIO",6,3,3,"MSRRs","AR+Tgt",1.61438942805416,0.109005469421932,0.945497265289034,"",""
