"date","ganho","delta_lam"
"2012-10-01",-0.00326759515018021,375627.083245964
"2012-11-01",0.0108231944800234,376103.170692977
"2012-12-01",-2.00638536226447e-06,375992.911580116
"2013-01-01",0.0133137678321547,375944.506180255
"2013-02-01",0.0534756394992281,376224.894215363
"2013-03-01",0.0242103606015069,376904.075323151
"2013-04-01",0.00108902603742747,377561.909623292
"2013-05-01",0.0084403686850001,376237.171416205
"2013-06-01",0.0163971008093015,376030.907183758
"2013-07-01",0.000170062334822739,376568.53326145
"2013-08-01",-0.00284059851685325,376732.494151373
"2013-09-01",0.0133531260719344,377080.649566368
"2013-10-01",-0.00181272785886485,377130.446728102
"2013-11-01",0.0113578594672577,376986.71148768
"2013-12-01",0.0116995877203681,377257.276105799
"2014-01-01",-0.000123863076873459,377769.339595964
"2014-02-01",-4.65487673245429e-05,378088.857890323
"2014-03-01",-0.0154326305630117,378135.089235971
"2014-04-01",0.00579932599741253,378447.786972089
"2014-05-01",-0.000108714847956316,378785.355037775
"2014-06-01",0.00128037126867488,378973.774537001
"2014-07-01",-0.00109962158582121,378991.190983591
"2014-08-01",-0.0154561805609313,379289.693515841
"2014-09-01",-0.00812357930185573,379134.067690549
"2014-10-01",0.000103626920526322,378927.198956069
"2014-11-01",-0.00253018190482273,378599.742003664
"2014-12-01",-0.0324189970783584,377790.304565139
"2015-01-01",-0.0165936118067301,376849.033082899
"2015-02-01",-0.195792975128819,137219.134859224
"2015-03-01",0.00316459325577704,375365.353252941
"2015-04-01",0.0102638369906873,375850.069791836
"2015-05-01",-0.0300067895226446,375924.631762132
"2015-06-01",-0.00615274508033186,376455.217593338
"2015-07-01",-0.00683676599338722,376627.798923502
"2015-08-01",0.00166740723017558,377223.051267887
"2015-09-01",-0.00579947321511348,377208.195024576
"2015-10-01",-0.0123119539399333,376522.287627815
"2015-11-01",-0.000843272164995677,376900.203843943
"2015-12-01",-0.00759784586544732,377417.861736325
"2016-01-01",0.000236011376319546,376806.975215059
"2016-02-01",-0.0167975171936989,376714.498569663
"2016-03-01",0.0188911405810184,375935.732691322
"2016-04-01",0.00976537244906485,376666.404535561
"2016-05-01",-0.000449300015767158,377077.890036077
"2016-06-01",0.00347598605187555,377395.797033559
"2016-07-01",0.00589834673616571,377720.360390654
"2016-08-01",0.0150700871262843,377782.831135328
"2016-09-01",0.00277284340551668,378105.941752987
"2016-10-01",-0.00146310300960577,378453.297157089
"2016-11-01",0.00386006449506793,378891.833511673
"2016-12-01",-0.0208122094480643,379028.238699188
"2017-01-01",-0.00980555190201029,379395.598196101
"2017-02-01",-0.00736918540582247,379948.698327382
"2017-03-01",-0.00102103153622227,380419.341917521
"2017-04-01",0.00109306608096206,380171.239121277
"2017-05-01",-0.0206752488741954,380628.326269515
"2017-06-01",0.0107631905739102,380262.712350991
"2017-07-01",-0.00978303350036551,380418.313653741
"2017-08-01",0.0353709895498859,380334.674738269
"2017-09-01",-0.00941813749976775,380827.849663848
"2017-10-01",0.014162373812158,380948.971753851
"2017-11-01",-0.019561480620033,381431.722821071
"2017-12-01",-0.00536389256444913,381952.627235261
"2018-01-01",-0.00460008158540755,382196.438772682
"2018-02-01",0.000333356298175093,382688.606039673
"2018-03-01",0.00636556141407264,382904.716355763
"2018-04-01",-0.00470996409285209,382970.203032396
