"t","intercept","y_lag1","y_lag2","F1_lag1","F2_lag1","F3_lag1","F4_lag1","F5_lag1","F6_lag1","F7_lag1","F8_lag1","F1_lag2","F2_lag2","F3_lag2","F4_lag2","F5_lag2","F6_lag2","F7_lag2","F8_lag2","date"
669,0.418559612228647,-0.261009117222985,-0.153861751886161,0.00358365102871419,0.0557491582317968,-0.0179600944681732,0.0257051768107055,-0.0118129814648808,0.0066738451661201,0.0147679376997612,0.000523078230874289,0.0154969487569926,0.00500250934380345,0.00932943105801045,0.00397882239913663,0.0134603378077863,0.0106886586789836,-0.00048639798875209,0.0138065769993549,2015-09-01
670,0.41983524552253,-0.267648797733407,-0.168068642966309,0.0042643970579082,0.0560768644207581,-0.0189961944632568,0.0273993146731275,-0.0111242276070872,0.0060392699870516,0.0161123072760185,0.00239365505233607,0.014972023384438,0.0068461779298213,0.0102150220494408,0.00373788267688769,0.0125015771808979,0.0103767557605309,-0.000478947837275729,0.0142083297405053,2015-10-01
671,0.41972449021366,-0.274406996512185,-0.165334588565222,0.00469902206811226,0.0555788666343915,-0.0179512872223535,0.0255713213347998,-0.0115780505285435,-0.00519943295036396,-0.0156116988050329,-0.00130328041456837,0.0141451196965639,0.00633922190709255,0.00990823361899147,0.00339691078978503,0.012385934950253,-0.0103756427390726,0.00075890483949768,-0.013234478526644,2015-11-01
672,0.417264027501716,-0.267309448109863,-0.159040011719463,0.00472156289623856,0.0552787504868079,-0.018336479459011,0.025433774112028,-0.0111042577242582,-0.0050912085681952,-0.0158793649770833,-0.00401628574359706,0.0142147291854746,0.00641503410429238,0.0106078898789366,0.00304234172247423,0.0120718190104171,-0.0104710747160286,0.00189674250063547,-0.0132951972233015,2015-12-01
673,0.415345656611117,-0.273487948214959,-0.159181073828435,0.00471241158688681,0.0551719232982348,-0.0193859405161932,0.0270418165457073,-0.0101997219044381,-0.0048728468679162,-0.0150080636964691,-0.00318928017900261,0.014443861689462,0.00751447123305383,0.0110479899149949,0.00170234536807022,0.0125859839954506,-0.0112778888098041,0.00241468406310315,-0.0122048405590455,2016-01-01
674,0.415196425334782,-0.274718925671095,-0.156046448278613,0.00496829647017117,0.0552884907593489,-0.0192894497311667,0.0268228502163143,-0.0104411112764604,-0.00482049537889065,-0.0146396386690508,-0.00420985337285832,0.0143347920518413,0.00728617169409189,0.0110373199345457,0.0015479636605363,0.012528152735372,-0.0111945576925458,0.00218407039254837,-0.0123468795770849,2016-02-01
675,0.414268958641242,-0.280393688116716,-0.15438302061179,0.00457024420962019,0.0558022451031089,-0.0195061467835776,0.0276152053289504,-0.0107037051920503,-0.00466147632037043,-0.0151918810019354,-0.0063280804491791,0.0146523857904967,0.00777616991517511,0.01123391850755,0.00205281585002053,0.0127977427670219,-0.010789929834488,0.00123888127900864,-0.0086162655451312,2016-03-01
676,0.415491773283558,-0.288167840199326,-0.148849330054167,0.00425301632994521,0.0556785138095186,-0.0183898420615971,0.0282959565257616,-0.0112825714349526,-0.00555223307023978,-0.0161953894623682,-0.00541607770043346,0.0148948510354056,0.00638620479129658,0.0106052766237137,0.00105932341012168,0.0137932021496946,-0.0108355143780974,0.000854958355985665,-0.00495418487707424,2016-04-01
677,0.415839180913569,-0.287232926007914,-0.150334353738537,0.00423562534388041,0.0556084921770747,-0.0184065165560111,0.0284582266684071,-0.0114263768820137,0.00547461215106966,0.0163699278650978,0.0054209066378592,0.0149180517986656,0.0063512808616553,0.0108065870100972,0.00116366967494416,0.0138037359949454,0.0107405783354632,-0.000644671507967061,0.00485894944129507,2016-05-01
678,0.41607566400518,-0.286721090389405,-0.149459506148893,0.00417162354626225,0.0555828562441112,-0.0184354554756094,0.0286743908168531,-0.011260009953943,0.00552237310193717,0.0164034473894311,0.00507267227729715,0.0149040527520694,0.00630541144762129,0.0108588730044404,0.00131803958130669,0.01358660034486,0.0105466244674714,-0.000339767750189267,0.00493625802010943,2016-06-01
