"window_date","var_idx","beta"
2022-03-01,4,2088.45837711519
2022-03-01,5,-4080.19570879487
2022-03-01,6,-1512.78317262686
2022-03-01,7,-1341.48181955235
2022-03-01,8,3104.16929864975
2022-03-01,9,2375.80359874042
2022-03-01,10,4048.32187217099
2022-03-01,11,-3853.98387801167
2022-03-01,12,3591.21646439481
2022-03-01,13,-501.789309621197
2022-03-01,14,2663.69537340795
2022-03-01,15,-4559.12776459554
2022-03-01,16,-3777.7370044962
2022-03-01,17,6243.571406344
2022-03-01,18,7391.81742359757
2022-03-01,19,3103.39721870854
2022-03-01,20,-546.148603154508
2022-03-01,21,208.337014309197
2022-04-01,1,-1627.22468953646
2022-04-01,2,2144.05115196481
2022-04-01,3,2749.98543995784
2022-04-01,4,-1896.44201393602
2022-04-01,5,-1115.20542922032
2022-04-01,6,-904.845206214722
2022-04-01,7,-560.540798432332
2022-04-01,8,3837.88764496737
2022-04-01,9,5921.83137739967
2022-04-01,10,-227.785965397313
2022-04-01,11,818.439625203082
2022-04-01,12,5964.56466515336
2022-04-01,13,-3382.31572389394
2022-04-01,14,-2805.28408848468
2022-04-01,15,1611.26855104088
2022-04-01,16,3577.40015626038
2022-04-01,17,2672.02156415732
2022-04-01,18,650.965748311677
2022-04-01,19,2076.17632397306
2022-04-01,20,-1979.25526215705
2022-04-01,21,-43.1946430004903
2022-05-01,1,-2910.74489758093
2022-05-01,2,2079.45993585998
2022-05-01,3,2896.92016241155
2022-05-01,4,-1651.05665895452
2022-05-01,5,-2147.4874591061
2022-05-01,6,-465.910859790424
2022-05-01,7,-361.129663090609
2022-05-01,8,3256.88974456091
2022-05-01,9,5607.95224785754
2022-05-01,10,172.197881204859
2022-05-01,11,1463.64894008254
2022-05-01,12,5463.7697025729
2022-05-01,13,-3224.85449023922
2022-05-01,14,-4562.2375894696
2022-05-01,15,3758.61545493905
2022-05-01,16,6355.44578077247
2022-05-01,17,4048.66605002982
2022-05-01,18,1532.83214468078
2022-05-01,19,705.607046422494
2022-05-01,20,-1394.46857811444
2022-05-01,21,62.7296884018085
2022-06-01,1,-2145.02912136973
2022-06-01,2,1746.74666019046
2022-06-01,3,2827.77561748802
2022-06-01,4,-2059.64552838941
2022-06-01,5,-1054.74427215208
2022-06-01,6,-935.854329071963
2022-06-01,7,-487.745215983892
2022-06-01,8,4242.67331885224
