"t","beta0","beta1","beta2","beta3","beta4","beta5","beta6","beta7","beta8","beta9","beta10","beta11","beta12","beta13","beta14","beta15","beta16","beta17","beta18"
697,2.64834531462281,-1.62249745786117,-0.184517382403863,-0.0631050865682263,0.0757239318542091,0.00432093186623443,0.0435097523240142,-0.069640079943293,-0.0154502027762947,0.028041166255041,0.0345978244803439,-0.0108904990422783,0.0144827050966244,0.0319279521958669,-0.0616453368298066,-0.118527605306817,-0.137397674429344,0.0115334467441017,-0.0280498185938185
698,2.6500535507621,-1.63862037308698,-0.184304090113303,-0.0630743315172457,0.0765639991137047,0.00345348419073719,0.0436765446748063,-0.0687805644524133,-0.0145125970387461,0.0277288711097498,0.034775708262202,-0.0108753192348566,0.0152380709478814,0.032893811545729,-0.0618046934668693,-0.117319120372243,-0.137980298616429,0.0118869182781212,-0.0268917731857359
699,2.70588376866631,-1.72853519965192,0.0121157319124825,-0.0646528372173504,0.074537122562373,0.0135798407203377,0.0566444171140433,-0.0755922527085046,0.0079114186561391,0.0368253419446184,0.0182472009480042,-0.00655962817151071,0.028971202462946,0.0403788842137216,-0.0558688270188152,-0.102837171648874,-0.101406514693152,0.0105319819923936,-0.0567510558883372
700,2.73684648775755,-1.86062246479967,-0.101634444976667,-0.0624755425351687,0.0666765754179284,0.00863912859134619,0.051193378375905,-0.0710920169597608,0.0125517446989331,0.014830163138345,0.0335463298634071,-0.00590482101467966,0.0239373757997474,0.0368667695921334,-0.0484679770130391,-0.111587724969924,-0.0906058737914904,0.0319014363986613,-0.0544674213825473
701,2.85141414516279,-1.83359458681611,-0.271452119565467,-0.0511108247700719,0.0637005530073701,-0.00513292525896135,0.0715554238692451,-0.0606201660978177,0.0205507920472551,-0.0277385471520177,0.0476553796408845,-0.00751865005479641,0.0151550528498269,0.0360029511815054,-0.0450734192408021,-0.0919684325350415,-0.0992569143676258,-0.0111269493161692,-0.0451829959224486
702,2.99376915779104,-1.84904760716422,-0.328194691762692,-0.0758782599173735,0.0577161655260883,0.0022200598799204,0.0630444730640787,-0.0657404327577346,-0.0217470538381284,-0.0347366809090565,0.0343754795058681,-0.000108000313969007,0.0172160422713359,0.0166379940561296,-0.021781792795047,-0.0794823865417917,-0.0976990711655111,-0.060178239570944,-0.0199899474891339
703,2.99701757591251,-1.8268713932526,-0.321538197409628,-0.0706603992600166,0.0581212423673147,0.0204724245962748,0.06199282469358,-0.0694534077370075,-0.00679146108903121,-0.0263741681237682,0.0405870027302501,-0.0080305179808819,0.00684437036850225,0.0166241880483216,-0.0266015191160772,-0.0755226434404947,-0.101452032516244,-0.0676959430477439,-0.0229850630029189
704,3.01355461147303,-1.87698890140807,-0.34596107381327,-0.0786682662844476,0.0641364006517151,0.0207543202936475,0.0623742481228226,-0.0763906847177413,-0.000983868099094475,-0.0261792267021711,0.0476644237370713,-0.000762584155268965,0.00366907644777144,0.0317400758147609,-0.0250426269000275,-0.0800801807586374,-0.0806433288475269,-0.0601233396281898,-0.00649437395063449
705,3.02811723902974,-1.72372282259225,-0.369394275581717,-0.0830707476336579,0.0667359725313128,0.0197393943166769,0.0598967633185627,-0.0722967949558108,-0.000136895606334745,-0.0341324747418439,0.0510843623866102,-0.00658585575125291,0.00657709854968737,0.0323440826398637,-0.0244811162314602,-0.0853297655566227,-0.0805843778363634,-0.0653553827734467,-0.00575716997744969
706,3.04284731318217,-1.69792415104751,-0.27635898203641,-0.080191572714319,0.0684804146953758,0.0148305299491353,0.0629153765832718,-0.0770257663659673,-0.00287537484529883,-0.0324677787576571,0.0470110813743356,-0.00721644012679449,0.00767435413366633,0.0332298966378685,-0.0242201753342469,-0.0787724024427698,-0.0769119187695631,-0.0726589635346527,-0.00396201092711819
707,3.09166440925607,-1.7405285403878,-0.125981043148401,-0.0687126202947748,0.0600803155908691,0.0135542513478497,0.0556476552832233,-0.066621904101932,-0.0109919812465484,-0.0303664646034362,0.0656220231890642,-0.00965254217702912,0.0130367062047562,0.0251605231279831,-0.0176280552475194,-0.0923494753114405,-0.0836116784506893,-0.058767893062102,0.0037902934383983
708,3.04428175503367,-1.81627270521912,-0.0658299578917993,-0.0647554352043369,0.0641380395704014,0.0293025468102236,0.0632817251945477,-0.0504589790462039,-0.0386654697285915,-0.0393555709165505,0.0174867808885155,-0.0409600837650211,0.0179959946671214,0.0478084042062717,-0.00714196111811091,-0.109902815848097,-0.0512032216006521,-0.0722774988934943,0.00556350183069938
709,3.06431829308855,-1.93718315722491,-0.134855794309475,-0.0672388783075973,0.0725377189942347,0.0112799345319368,0.0684429427683406,-0.0607252619360085,-0.0547067712941198,-0.0583944274824962,0.00995825378087545,-0.0363812828600886,0.0111590227565116,0.043588392886447,0.00747541178314198,-0.0952735628093499,-0.0788784904912632,-0.0833423218113994,-0.0583582853323468
710,2.93924342404849,-2.13155903644746,-0.225582249177165,-0.082354536236204,0.0640194597644876,0.0317633061602437,0.0736137923438031,-0.0319542701118842,-0.0519955891584577,-0.00991420768100617,0.101375011674599,-0.0332580337470407,0.030705501809614,0.046710959439529,0.00646299750405729,-0.101203929473546,-0.0897508252800197,-0.0867257064944551,-0.0547242062197863
711,2.89202746252002,-2.07377958961614,-0.285827681734546,-0.0922022534362219,0.0520821486397162,0.0300223554813908,0.0883018562559126,-0.0370647899870175,-0.0670639724518269,-0.0110111301047534,0.105837827135337,-0.0373942513577819,0.0308004389552717,0.0531979465279593,0.00703294571432997,-0.0923423167609113,-0.0977212724006372,-0.0667259493509336,-0.0331879179761705
712,2.92247754463012,-2.07713950781846,-0.27534139537148,-0.0909879747906267,0.0493734004559217,0.0346126715891388,0.0874462054061048,-0.0317381611690103,-0.0683069635965129,-0.00938963858098367,0.096855611412049,-0.0300493535328847,0.0322250518035638,0.0507805577743999,-0.0041926265147995,-0.0865947459289791,-0.0929918230848172,-0.0665240665808071,-0.0375037724410123
713,2.8953925229661,-2.09848619379582,-0.24016423798108,-0.0912469032934394,0.0503973377804408,0.0395247893714394,0.0864479008657437,-0.0311251648600858,-0.0633029063423653,-0.00547795353129372,0.0857529419845974,-0.0320086378907564,0.0308899489916058,0.0470126077596092,-0.00296194710575322,-0.0887397976620543,-0.0939104674040305,-0.0652029452077353,-0.0307866731439159
714,2.89632226102185,-2.10040975562724,-0.243758606556154,-0.0906849657618922,0.0507879727408217,0.039595019154801,0.0862182289490646,-0.0317988141001737,-0.0636416358431999,-0.00636219763506652,0.0853207345077422,-0.0326269813872994,0.0307703395280707,0.0461868964534143,-0.00238937363114251,-0.0892015272042341,-0.0935886719096413,-0.0651530601104641,-0.0317517332310775
715,2.9112979151495,-2.10396319741791,-0.368884253775902,-0.0857836477826877,0.0559198229816066,0.0374475480231328,0.0847596019554238,-0.0342760573584645,-0.0724119311814774,0.00520780197924191,0.070258806571889,-0.0284201411767149,0.0314614231301925,0.0391877434537912,0.00695406357352172,-0.0736524343579058,-0.106077473846572,-0.0996957094762869,-0.0391207255611474
716,2.64031491565973,-1.77257408313737,-0.373267961069964,-0.0621019292137967,0.0588747142604017,0.0751044440868624,0.0731628016710944,-0.0406212337757855,-0.0489436979449028,0.0105117339402226,0.091909571058884,-0.010719852042827,0.04129134041646,0.0293532619129119,-0.00190823742026245,-0.0783909252342493,-0.0937363077676156,-0.0386691740626472,-0.0743373215192287
717,2.64458926691969,-1.79018072061483,-0.364612729483367,-0.0624865160423013,0.0620588283350085,0.0724128141934848,0.0717824765380534,-0.0417575875846802,-0.0527930587812013,0.0134814883317341,0.0870931096686926,-0.0101806781709419,0.0405825544958472,0.0309244300299278,-0.00203979307091836,-0.080474187377475,-0.0940481211678287,-0.0405767656712283,-0.0768821464774943
718,2.62566246655898,-1.78810323521365,-0.271402080590104,-0.0555969553361178,0.0685829759081433,0.0599022093898909,0.0655553205996202,-0.0484234928689947,-0.0523080657373014,-0.00336085848573669,0.0719866598065304,-0.0113798560422839,0.0273190817267997,0.0371020840915169,0.000853168688613135,-0.0747039200579149,-0.0796859929332462,-0.0473847663200585,-0.0459983223966041
719,2.56060081708475,-1.72814611165817,-0.272068597829368,-0.0460924548743971,0.0517845859662108,0.0661890318403432,0.0736117414521261,-0.0520780217021903,-0.0556259131455068,-0.00121993494797341,0.0604995722458122,-0.010646385326148,0.0230736818560567,0.0495091855262858,0.00451491372774647,-0.0594708146689037,-0.0777837665059333,-0.0373542602973387,-0.0341909573231212
720,2.58906126956301,-1.71499075794598,-0.257328370502381,-0.0479365408884267,0.0479235265386565,0.0721300736728153,0.0655193620853689,-0.0456130048321525,-0.060146834298425,0.00343429050086649,0.0571704269228125,-0.0136607415682944,0.0298897217167156,0.0493886318393466,-0.00305430709623963,-0.0550183846082871,-0.077640456420832,-0.0400452510247116,-0.027365755002141
721,2.59527020438001,-1.62091205270733,-0.196237613534005,-0.054428493161799,0.053189855545423,0.086096081275832,0.0524891012160684,-0.0196092139982611,-0.0513993105230348,-0.0293329911450504,0.0357837244008049,-0.0189931370581536,0.0134523361755169,0.0618798695175625,-0.012187401710816,-0.0407799431321497,-0.0846816762917735,-0.0337243016799266,-0.0336999750953523
722,2.59209810206511,-1.61255294362117,-0.211416282157844,-0.0535140010775126,0.052921928115107,0.0841228456710104,0.0518999715968815,-0.0190754768133528,-0.0529675080125242,-0.0322977802003806,0.0339539968285554,-0.0181011846979264,0.0141638859080115,0.0594682994692695,-0.0113520699919159,-0.0434956176635816,-0.0861193883838614,-0.0307818814995723,-0.0301393787719661
723,2.65053040074484,-1.35213833026439,-0.710757214107684,-0.0273356107803566,0.043672370731349,0.0608897419747414,-0.0371867336629947,-0.053690888015491,-0.0419208688871988,-0.00789359134359959,0.0336842940588517,-0.0560685458770989,-0.0165546101816001,0.0257078463647823,-0.046604539672086,-0.0609063822449847,-0.0401109386137168,-0.0645459058052468,-0.101797897096562
724,2.67627748798777,-1.54496364126176,-1.02176849387758,0.0459483146020061,0.073936009390021,0.0312025630160168,0.00612153989359253,0.0472492042070231,-0.0664838479876432,-0.00149600836276308,-0.00690889595175294,0.065599698880994,-0.0276756246622129,0.0170340363009446,0.0145291412803307,0.0477553020838489,-0.0292564760925072,-0.0723399481557224,-0.0587544825123567
725,2.6745326640699,-1.72643991556498,-1.22596757076994,0.0222689186436246,0.0496463622918679,0.00396892382435935,-0.0177662363936966,0.0660217537075305,-0.102579031727664,0.0836202592306647,-0.0790459026300048,0.120217252248619,-0.0369280974823513,-0.0227508812584721,0.0112279017645363,0.0419306986393226,0.0143686462948256,0.214734126622557,0.0628703859210346
726,2.54266642753478,-1.43961268374422,-1.58045216677627,0.0246647871344609,0.0759017385807646,0.00435827895231083,-0.0446835409676671,0.0952429495668592,0.0881787347370938,-0.0991062583854784,0.10671549785812,0.11559576677928,-0.0418109994911576,-0.0291259290838426,-0.0395344768372278,0.0440351434690587,0.0782821343521231,0.2458439839403,0.173056523091177
727,1.84120756471341,-1.0220453333747,-1.22660548509285,0.073919122692326,0.01926625388167,-0.00207281962807898,-0.21403726306397,0.214291638861433,-0.0590613799375802,-0.0262922755727968,-0.129336615989635,0.167412569510934,0.00524647735648928,-0.0307120527486857,-0.0738779367529107,0.0354529936283616,-0.0381677272671652,-0.228704379209393,-0.14242850858651
728,1.93428133991742,-1.23049413328504,-1.28476438004708,0.0698952664369038,0.0323434555336498,-0.0101210651561742,-0.176826669520038,0.19882414531148,-0.0527484320540479,-0.0331561114492051,-0.116831908730484,0.14928116056765,-0.00970991793410164,-0.0246807273099648,-0.0811222443645131,0.0594025406326155,-0.0298807144844612,-0.229079130770639,-0.146190853671168
729,2.17982980825133,-0.967019933621816,-1.35520214355078,0.00902078005740224,0.0479935176252361,0.0565610443370475,-0.0894280800502899,0.15792290372918,-0.0526898917622019,-0.0829777880283394,-0.163161827694066,0.171211324116695,0.0482633861835545,0.00598579570713972,-0.083520726152851,0.0459824479503748,-0.0492993182761553,-0.0692452409464851,-0.16962301440334
730,2.26935297019433,-0.805472687411899,-1.10305524629764,0.005429908562892,0.0346765042083994,0.0519225922856255,-0.101695137899722,0.1484033240486,-0.0804327330245081,-0.0882206870655642,-0.105697875933887,0.144619888422358,0.0397081022533449,0.0304615488317315,-0.0451077084249491,0.0352545337476609,-0.0597821872652661,-0.104440836970457,-0.170769987723779
731,2.32065736853301,-0.738296579755907,-1.03969835374381,0.0197535852115716,0.0408865761435847,0.066797508544383,-0.0952781268829854,0.162733371029035,-0.0861080437524885,-0.102881281109002,-0.0906375720921709,0.150173885615473,0.0355707075284814,0.0304048334293381,-0.0553977069913004,0.0345521523878561,-0.0755712393842737,-0.104411395093125,-0.139053562257199
732,2.19898167519894,-0.949572177123151,-1.32534166637831,0.0286271038193293,0.0468262375574973,0.0370226553441992,-0.0836455289247622,0.129307231325222,-0.0808525176376032,-0.128276047203161,-0.0569275256114277,0.129390049650236,0.0237736073123478,-0.00341162992361263,-0.0667845204906656,0.0183479342002339,-0.0769271302590825,-0.0514040076099069,-0.143447198990173
733,2.19207933290765,-0.978139544436786,-1.31212920117296,0.0293143915354824,0.0479190208091035,0.0393242096766581,-0.0840652481248448,0.132802571083759,-0.0747994087742356,-0.121686900003359,-0.0588350242292664,0.129770326524328,0.0208993606408919,-0.00227019091716861,-0.0669523150839183,0.0218090129540222,-0.0718805462592275,-0.0573391128506949,-0.141597315002026
734,2.17989429505089,-0.848122700513304,-1.30246723599561,0.0425309889400298,0.0425323044625857,0.0651635100195428,-0.0725879986016521,0.123081099239299,-0.114059268937106,-0.0883436063212986,-0.0347572229897676,0.138978620373275,0.0128028569643324,0.0138282652201059,-0.0660257463794548,0.0581235637783478,-0.0816303582541597,-0.067129927114898,-0.125912705848114
735,2.16334332840475,-0.907086970031978,-1.12073531841109,0.0506085434946007,0.0529410839781512,0.0791634558857655,-0.0849039114818349,0.0908303967842288,-0.118844423399854,-0.06119226733267,-0.0676739270147914,0.141032648143788,-0.00530104628535584,0.0481885450898192,-0.0508943589311171,0.0783880308249982,-0.10139096153786,-0.0308932425415522,-0.121815892749854
736,2.11914542172074,-0.895073927806951,-1.09228413904561,0.0270370969757659,0.0462915624294267,0.0759665580227331,-0.0838160606631467,0.0812904239500268,-0.11362785903241,-0.0667057365558858,-0.0282529640440087,0.141851000280871,-0.0117362422916628,0.054364073107109,-0.0495541593043798,0.0746713087158771,-0.104121275334017,-0.0637420021262598,-0.0881605756797461
737,2.16684502853501,-0.807664697821292,-1.20726662108264,-0.0294026329136572,0.0255138319176359,0.0624649445428473,-0.0606699733181579,0.0570341771526196,-0.0440980895187141,-0.127896000574661,0.0243223977657787,0.112717812337855,-0.000494554317897774,0.0378634545451275,-0.035113698432977,0.061480369507574,-0.107825124141458,-0.0471764228551606,-0.0582201232272322
738,2.11461340687463,-0.691246495494391,-1.06406022872318,-0.0233611462675571,0.0144125540501554,0.0722455063653796,-0.0459510202990788,0.0677417617448781,-0.0380378464507243,-0.112645495246077,-0.0200760500222447,0.0298171480213614,-0.0140482959223054,0.0209744790546289,-0.0100241953044492,0.0154667137662476,-0.0502832126826102,-0.0730721956792854,-0.0108496934221401
739,2.25783126069751,-0.846732386385192,-1.09528382270339,-0.00739461475144105,-0.0181364830545039,0.0419067478750155,-0.0603493676868567,0.128166375361436,-0.102339594171541,-0.160056336333146,-0.046889434381761,0.0275522472923652,-0.0391905252342206,-0.0304760494356627,0.00538273801181408,0.0169607578859702,-0.144034803989883,-0.0110698425022454,0.0508732787454755
740,2.34438206610969,-0.686403512351042,-0.91246553126966,-0.00591155966325534,-0.0159837166158462,0.0414890565161922,-0.0472791515557895,0.13181920797109,-0.138752512295905,-0.18981908143127,-0.0563302697291858,0.0251548591604565,-0.0365662827573828,-0.0436355333056834,0.0106195147116767,0.0153781886572039,-0.172358121459461,-0.0297307764977929,0.00983680182691984
741,2.54374697809328,-0.927393592641941,-0.622445587312074,-0.00330078245567874,-0.027172710792961,0.0123120254203753,-0.0559642681001276,0.151657501108536,-0.0710595328589959,-0.18118759941647,0.010990795796018,0.0258022896974973,-0.0256369545486903,-0.0348218691912725,0.0437256997790665,0.0441220801293942,-0.274164610132014,-0.153653103308981,0.0461335891190861
742,3.32025625815868,-0.469616599200285,-0.469748574290602,-0.0390994949076227,-0.0307550302060889,0.0515100772366758,-0.0695895765932588,0.207320356461438,-0.126689746262195,-0.295364894154439,0.048536652171417,0.0509782730742319,-0.0642635160227903,-0.096463818383391,0.055629754790916,0.117205035182143,-0.100405371182363,-0.413860976959345,0.205911129599645
743,4.39736007037568,-1.67881292221843,-0.158688781205585,-0.0973076952609884,-0.208635827706932,0.0991968206573813,-0.185980732193789,0.397483603980982,0.119645260550832,-0.0375188302500503,-0.0096998759065468,-0.011754589480723,-0.0292321877106389,-0.0119425622943135,-0.082397418249637,0.0223213285972592,-0.0755887123965367,-0.18649876752405,0.107690458360411
744,4.5139963545434,-1.18396103485169,-1.3522159126486,-0.0879413439414108,-0.188862319525871,0.131825432486299,-0.0979576234955196,0.511949143446382,0.173542545171748,-0.0502695437753393,-0.0126993939259453,-0.0300623763855581,-0.126781300573442,0.0134446954801838,-0.0764160085113729,0.143722648646396,0.00122667886945005,-0.158808139805909,0.063784107663091
745,4.56003831459377,-0.590952184189072,-1.06316868162525,-0.0943569095893915,-0.18173869420822,0.146658350349943,-0.113788777067556,0.528109936497777,0.194475268113147,0.0108997314183622,-0.0542387052374328,-0.0263373962103562,-0.0945932402777947,0.00447009692047042,-0.0582177641319845,0.117605386681275,0.00262481120651412,-0.0928354907370885,0.0584557358095649
746,4.67705807415149,-1.05391012026144,-0.994020251291104,-0.0913983694949568,-0.166214042029564,0.158570447923739,-0.148413962521911,0.507144232315708,0.165520862412718,0.09959554380181,-0.07306273603698,-0.0424916754222986,-0.0600424231867244,-0.0236860628024384,-0.0582792768712566,0.16138205067043,-0.00666607889627138,-0.0530977526969337,0.0174599764314627
747,4.76584861651691,-0.96423417084833,-0.834835256475149,-0.0758338851279207,-0.132343914600931,0.138950774749589,-0.191122139855955,-0.515057426064331,0.16788253426111,0.0511736103931924,0.0169011322553238,-0.0544165803389441,-0.0349526046155351,-0.0107860689101934,-0.0540235131585515,-0.177088496880349,-0.0214428371201596,0.0361714459756957,0.00146785152304091
748,4.94658504217302,-0.754340762234061,-1.02834476199037,-0.0805871304860919,-0.0682427985605159,0.11291569208911,-0.220454551350289,-0.496560699931496,0.117837664425523,0.0407860040919482,9.76766451676851e-05,-0.0483318355493659,-0.0212022916826535,0.0171186411905517,-0.0942092299686167,-0.274620995634556,-0.00783900999256543,-0.0336218673340092,0.0914224857895049
749,4.8852185879923,0.425731618048255,-0.444628009741496,-0.0893586329604192,-0.0833949601338316,0.146241363094625,-0.231149031450337,-0.473679306726999,0.0734138110686159,-0.00886898913957052,-0.00366067417471239,-0.0568522083698502,0.00253099135273264,0.0403242825045293,-0.147106079108448,-0.201237634924722,-0.0577622984142808,0.0372133655670982,0.0664183620484637
750,4.86897596117776,0.49188382658825,-0.249664450381764,-0.0888594596516565,-0.0786920485473336,0.136736574592391,-0.240230585489291,-0.474653590277344,0.0770753790269973,-0.00802744436028363,-0.00414406695896921,-0.0570874037285685,0.000579566560784615,0.0465176209451428,-0.15041024624917,-0.199626059225221,-0.0589265426483645,0.0225457072147002,0.0720746742838872
751,4.89937866939453,1.05375813776408,-0.355708241043375,-0.0866939288265714,-0.0782539108037937,0.104365726609437,-0.217439730906311,-0.439682510622264,0.0116772342874164,-0.069914322441588,0.0349921724399132,-0.0574739067577918,0.00416703780064582,0.0366962400891327,-0.152111161775211,-0.246504826314458,0.0263883622573665,0.00887484390869346,0.0219994293753754
752,4.83822133619895,1.30229559492384,0.152300716676169,-0.0685204905637839,-0.0916536680061807,0.0904845648001367,-0.194546279864022,-0.393340060397957,0.0899433166345475,0.00984459945518385,0.0115722085938024,-0.0597074665078547,0.0252699756951713,-0.00561394754744143,-0.180200406588123,-0.253994511931718,-0.00956018047071306,-0.00186523585019926,0.0300785961009371
